unit_id,latitude,longitude,timestamp,distance_by_interval,dist_diff,cluster_number,flag,rank,alert_info
1410765,18.64625282102375,73.7566476847711,2017-03-25T00:01:00.000Z,0.0,,0,,1,"[]"
1410765,18.64625282102375,73.7566476847711,2017-03-25T00:02:00.000Z,0.0,,0,,1,"[]"
1410947,18.62441909988254,73.71477245598567,2017-03-25T00:05:00.000Z,0.0,,0,,1,"[]"
1410947,18.62324625428525,73.71601233770161,2017-03-25T00:06:00.000Z,0.1845999460036187,,0,,1,"[]"
1410947,18.62319411508185,73.71588571392194,2017-03-25T00:07:00.000Z,0.01454768247255581,,0,,1,"[]"
1410947,18.62296779656162,73.71614583698064,2017-03-25T00:08:00.000Z,0.03721035245419867,,0,,1,"[]"
1410671,18.55688909119268,73.71653086494419,2017-03-25T00:10:00.000Z,0.0,,0,,1,"[]"
1410947,18.62435951222152,73.71530416126866,2017-03-25T00:11:00.000Z,0.1783645245062339,nan.0,0,nan.0,1,"[ ""cluster 1 is left behind of your cluster 0"" ]"
1410670,18.60643737725165,73.76054265515232,2017-03-25T00:11:00.000Z,0.0,0.1783645245062339,1,0.0,2,"[ ""cluster 0 is move ahead of your cluster 1"" ]"
1410947,18.62342444431005,73.71219414372976,2017-03-25T00:12:00.000Z,0.3438085110188888,,0,,1,"[]"
1410947,18.61936446194443,73.71111239849884,2017-03-25T00:13:00.000Z,0.4656176283984113,,0,,1,"[]"
1410947,18.61936102419476,73.71110953370746,2017-03-25T00:14:00.000Z,0.0004829460971602856,,0,,1,"[]"
1410947,18.61678901447993,73.71090613351838,2017-03-25T00:15:00.000Z,0.286796455412469,nan.0,0,nan.0,1,"[ ""cluster 1 is left behind of your cluster 0"" ]"
1410656,18.49869085399432,73.85004446792865,2017-03-25T00:15:00.000Z,0.0,0.286796455412469,1,0.0,2,"[ ""cluster 0 is move ahead of your cluster 1"" ]"
1410947,18.61299259292269,73.71347069477558,2017-03-25T00:16:00.000Z,0.5012369337188418,,0,,1,"[]"
1410947,18.60754433264685,73.72240082251344,2017-03-25T00:17:00.000Z,1.119203285610251,nan.0,0,nan.0,1,"[ ""cluster 1 is left behind of your cluster 0"" ]"
1412129,18.49819238029151,73.85001925776439,2017-03-25T00:17:00.000Z,0.0,1.119203285610251,1,0.0,2,"[ ""cluster 0 is move ahead of your cluster 1"" ]"
1410947,18.60307067440372,73.73090925295789,2017-03-25T00:18:00.000Z,1.025395740091602,,0,,1,"[]"
1410947,18.59484242055774,73.73489589666379,2017-03-25T00:19:00.000Z,1.006794725961016,nan.0,0,nan.0,1,"[ ""cluster 1 is left behind of your cluster 0"" ]"
1410591,18.45806582017386,73.79247763075385,2017-03-25T00:19:00.000Z,0.0,1.006794725961016,1,0.0,2,"[ ""cluster 0 is move ahead of your cluster 1"" ]"
1410947,18.59404428967497,73.73555938235097,2017-03-25T00:20:00.000Z,0.1129856001073222,,0,,1,"[]"
1410947,18.59407580238032,73.73555938235097,2017-03-25T00:21:00.000Z,0.00350361414962546,,0,,1,"[]"
1410947,18.59117949827954,73.7398577153607,2017-03-25T00:24:00.000Z,0.5558195879499018,nan.0,0,nan.0,1,"[ ""cluster 1 is left behind of your cluster 0"" ]"
1412130,18.49045114098275,73.81874433010037,2017-03-25T00:24:00.000Z,0.0,0.5558195879499018,1,0.0,2,"[ ""cluster 0 is move ahead of your cluster 1"" ]"
1410947,18.59111074328604,73.74120588619139,2017-03-25T00:25:00.000Z,0.1422926389448849,nan.0,0,nan.0,1,"[ ""cluster 1 is left behind of your cluster 0"" ]"
1412129,18.49819238029151,73.85001925776439,2017-03-25T00:25:00.000Z,0.0,0.1422926389448849,1,0.0,2,"[ ""cluster 0 is move ahead of your cluster 1"" ]"
1410665,18.59337278257188,73.73620109562356,2017-03-25T00:26:00.000Z,0.0,,0,,1,"[]"
1410765,18.64618922265477,73.75649585082712,2017-03-25T00:27:00.000Z,0.01749052020961883,,0,,1,"[]"
1410765,18.64625625877343,73.75735070457954,2017-03-25T00:28:00.000Z,0.09037395883288975,nan.0,0,nan.0,1,"[ ""cluster 1 is left behind of your cluster 0"" ]"
1410591,18.45778736245023,73.79235788247354,2017-03-25T00:28:00.000Z,0.03344001560046223,0.05693394323242752,1,0.0,2,"[ ""cluster 0 is move ahead of your cluster 1"" ]"
1410765,18.64344074178999,73.7540773939311,2017-03-25T00:29:00.000Z,0.4657803505083827,,0,,1,"[]"
1410765,18.6389825534204,73.75031764170373,2017-03-25T00:30:00.000Z,0.634560980612822,nan.0,0,nan.0,1,"[ ""cluster 1 is left behind of your cluster 0"" ]"
1411607,18.51750565796301,73.87107432860431,2017-03-25T00:30:00.000Z,0.0,0.634560980612822,1,0.0,2,"[ ""cluster 0 is move ahead of your cluster 1"" ]"
1410765,18.63123787636197,73.75242097154627,2017-03-25T00:31:00.000Z,0.8892278738388214,,0,,1,"[]"
1410765,18.62558105927253,73.75704245302538,2017-03-25T00:32:00.000Z,0.7954782577092563,,0,,1,"[]"
1410765,18.61949624234862,73.7620558379674,2017-03-25T00:33:00.000Z,0.8584077901281187,,0,,1,"[]"
1410765,18.61562419029854,73.76543743773058,2017-03-25T00:34:00.000Z,0.5588861183475118,nan.0,0,nan.0,1,"[ ""cluster 1 is left behind of your cluster 0"" ]"
1410947,18.59104599900051,73.7420991281485,2017-03-25T00:34:00.000Z,0.09441593710681509,0.4644701812406967,1,0.0,2,"[ ""cluster 0 is move ahead of your cluster 1"" ]"
1410947,18.59098927613088,73.74935908250281,2017-03-25T00:35:00.000Z,0.7651714442973714,nan.0,0,nan.0,1,"[ ""cluster 1 is left behind of your cluster 0"" ]"
1410765,18.61265741232943,73.76780432838149,2017-03-25T00:35:00.000Z,0.4135669405077039,0.3516045037896675,1,0.0,2,"[ ""cluster 0 is move ahead of your cluster 1"" ]"
1410947,18.59222743897199,73.75693072616096,2017-03-25T00:36:00.000Z,0.8097820634455286,nan.0,0,nan.0,1,"[ ""cluster 1 is left behind of your cluster 0"" ]"
1410765,18.6081757326704,73.77160246881357,2017-03-25T00:36:00.000Z,0.6391737469135134,0.1706083165320152,1,0.0,2,"[ ""cluster 0 is move ahead of your cluster 1"" ]"
1410765,18.60476433907671,73.7721192771813,2017-03-25T00:37:00.000Z,0.3832195065272135,nan.0,0,nan.0,1,"[ ""cluster 1 is left behind of your cluster 0"" ]"
1410947,18.59285081757963,73.75713068860036,2017-03-25T00:37:00.000Z,0.07244936393649729,0.3107701425907162,1,0.0,2,"[ ""cluster 0 is move ahead of your cluster 1"" ]"
1410765,18.60156264821317,73.77013111195288,2017-03-25T00:38:00.000Z,0.4130910979188359,nan.0,0,nan.0,1,"[ ""cluster 1 is left behind of your cluster 0"" ]"
1410947,18.59115085036558,73.75780907120281,2017-03-25T00:38:00.000Z,0.2020969542895629,0.210994143629273,1,0.0,2,"[ ""cluster 0 is move ahead of your cluster 1"" ]"
1410765,18.5966793248005,73.76942751918615,2017-03-25T00:39:00.000Z,0.5480402141065415,nan.0,0,nan.0,1,"[ ""cluster 1 is left behind of your cluster 0"" ]"
1410947,18.59115085036558,73.75780907120281,2017-03-25T00:39:00.000Z,0.0,0.5480402141065415,1,0.0,2,"[ ""cluster 0 is move ahead of your cluster 1"" ]"
1410765,18.59480288643649,73.76470920775786,2017-03-25T00:40:00.000Z,0.5392622809092433,nan.0,0,nan.0,1,"[ ""cluster 1 is left behind of your cluster 0"" ]"
1410671,18.55531116409207,73.71642773245395,2017-03-25T00:40:00.000Z,0.1757939815626879,0.3634682993465554,1,0.0,2,"[ ""cluster 0 is move ahead of your cluster 1"" ]"
1410765,18.59610751243797,73.76381252805108,2017-03-25T00:41:00.000Z,0.173133161742885,nan.0,0,nan.0,1,"[ ""cluster 1 is left behind of your cluster 0"" ]"
1410670,18.60638752988137,73.7606228693114,2017-03-25T00:41:00.000Z,0.01010844172146672,0.1630247200214183,1,0.0,2,"[ ""cluster 0 is move ahead of your cluster 1"" ]"
1410765,18.59300265152359,73.76309117357772,2017-03-25T00:42:00.000Z,0.3535160242681635,nan.0,0,nan.0,1,"[ ""cluster 1 is left behind of your cluster 0"" ]"
1410947,18.59115256924041,73.75781079007764,2017-03-25T00:42:00.000Z,0.0002616054619970591,0.3532544188061664,1,0.0,2,"[ ""cluster 0 is move ahead of your cluster 1"" ]"
1410765,18.59186590229788,73.75754952110239,2017-03-25T00:43:00.000Z,0.5975658012234808,nan.0,0,nan.0,1,"[ ""cluster 1 is left behind of your cluster 0"" ]"
1410947,18.58678949194516,73.75929074131253,2017-03-25T00:43:00.000Z,0.5096092532797881,0.08795654794369268,1,0.0,2,"[ ""cluster 0 is move ahead of your cluster 1"" ]"
1410947,18.57718900302076,73.76293074525957,2017-03-25T00:44:00.000Z,1.134371282802859,nan.0,0,nan.0,1,"[ ""cluster 1 is left behind of your cluster 0"" ]"
1410765,18.5918544431323,73.75748936048306,2017-03-25T00:44:00.000Z,0.006466976820744292,1.127904305982115,1,0.0,2,"[ ""cluster 0 is move ahead of your cluster 1"" ]"
1410947,18.57470923958887,73.76385779175513,2017-03-25T00:45:00.000Z,0.2925383481040798,nan.0,0,nan.0,1,"[ ""cluster 1 is left behind of your cluster 0"" ]"
1410765,18.59030573690393,73.75791736031753,2017-03-25T00:45:00.000Z,0.1780180404877866,0.1145203076162932,1,0.0,2,"[ ""cluster 0 is move ahead of your cluster 1"" ]"
1410765,18.58175605346337,73.76115915826063,2017-03-25T00:46:00.000Z,1.010215122712153,nan.0,1,nan.0,1,"[]"
1410656,18.49777412074777,73.8505062723016,2017-03-25T00:46:00.000Z,0.1129707199816286,0.8972444027305246,1,0.0,2,"[]"
1410947,18.57475736808431,73.76386581317104,2017-03-25T00:46:00.000Z,0.005418028872468726,0.1075526911091598,1,0.0,3,"[]"
1410765,18.57344070995897,73.76432074204463,2017-03-25T00:47:00.000Z,0.9828399176103105,nan.0,1,nan.0,1,"[]"
1412129,18.49824108174523,73.85024443036806,2017-03-25T00:47:00.000Z,0.0243541972442287,0.9584857203660818,1,0.0,2,"[]"
1410947,18.57473616862799,73.7638394570902,2017-03-25T00:47:00.000Z,0.003643957962950532,0.02071023928127817,1,0.0,3,"[]"
1410765,18.57112767738629,73.76525580995612,2017-03-25T00:48:00.000Z,0.2754353630034419,nan.0,0,nan.0,1,"[ ""cluster 1 is left behind of your cluster 0"" ]"
1410947,18.57473273087831,73.76383430046569,2017-03-25T00:48:00.000Z,0.000660105073692247,0.2747752579297497,1,0.0,2,"[ ""cluster 0 is move ahead of your cluster 1"" ]"
1410765,18.57106751676699,73.7652644043303,2017-03-25T00:49:00.000Z,0.00675026389055075,,0,,1,"[]"
1410765,18.57109100805643,73.76525752883094,2017-03-25T00:52:00.000Z,0.002710909051888043,,0,,1,"[]"
1410765,18.56893611196878,73.76633583631219,2017-03-25T00:53:00.000Z,0.2652039673409257,,0,,1,"[]"
1412130,18.49139423031013,73.81808771991253,2017-03-25T00:54:00.000Z,0.1256644398405259,nan.0,0,nan.0,1,"[ ""cluster 1 is left behind of your cluster 0"" ]"
1410765,18.56888741051506,73.76644068767726,2017-03-25T00:54:00.000Z,0.01230742910369602,0.1133570107368299,1,0.0,2,"[ ""cluster 0 is move ahead of your cluster 1"" ]"
1410765,18.56888912938989,73.76644928205144,2017-03-25T00:55:00.000Z,0.0009241350043550466,nan.0,0,nan.0,1,"[ ""cluster 1 is left behind of your cluster 0"" ]"
1412130,18.49139423031013,73.81808771991253,2017-03-25T00:55:00.000Z,0.0,0.0009241350043550466,1,0.0,2,"[ ""cluster 0 is move ahead of your cluster 1"" ]"
1410765,18.56791739214856,73.76655585229136,2017-03-25T00:56:00.000Z,0.1086346094506526,nan.0,0,nan.0,1,"[ ""cluster 1 is left behind of your cluster 0"" ]"
1410665,18.59311953501253,73.73707772179057,2017-03-25T00:56:00.000Z,0.0965848998696353,0.01204970958101732,1,0.0,2,"[ ""cluster 0 is move ahead of your cluster 1"" ]"
1410765,18.5613707708517,73.76875944983274,2017-03-25T00:57:00.000Z,0.7641113868415247,,0,,1,"[]"
1410765,18.55373610178286,73.77160074993873,2017-03-25T00:58:00.000Z,0.9002221014460809,,0,,1,"[]"
1410765,18.54696258900748,73.7738427356848,2017-03-25T00:59:00.000Z,0.7893918407695427,,0,,1,"[]"
1410765,18.53870110358131,73.78127916118908,2017-03-25T01:00:00.000Z,1.207680776585401,nan.0,0,nan.0,1,"[ ""cluster 1 is left behind of your cluster 0"" ]"
1411607,18.51750565796301,73.87107432860431,2017-03-25T01:00:00.000Z,0.0,1.207680776585401,1,0.0,2,"[ ""cluster 0 is move ahead of your cluster 1"" ]"
1410765,18.52883075130746,73.77845791462286,2017-03-25T01:01:00.000Z,1.137122874026013,nan.0,0,nan.0,1,"[ ""cluster 1 is left behind of your cluster 0"" ]"
1410947,18.57038913416455,73.76547410706044,2017-03-25T01:01:00.000Z,0.5129813123565884,0.6241415616694249,1,0.0,2,"[ ""cluster 0 is move ahead of your cluster 1"" ]"
