unit_id,latitude,longitude,timestamp,distance_by_interval,dist_diff,cluster_number,flag,rank,alert_info
1410765,18.48445914330005,73.80001776170666,2017-03-25T01:14:00.000Z,8.73288989876184,3.413280902830101,1,0.0,2,"[ ""unit_id 1410591 is left behind of your cluster 1"" ]"
1410591,18.4601141460216,73.79036284174575,2017-03-25T01:14:00.000Z,0.3950325780322251,8.337857320729615,"outlier",1.0,3,"[ ""You are outside the cluster"" ]"
1410765,18.47688921851674,73.80749429429048,2017-03-25T01:15:00.000Z,9.886242634224109,nan.0,0,nan.0,2,"[ ""unit_id 1410591 is left behind of your cluster 0"" ]"
1410591,18.46020410047142,73.79074099420994,2017-03-25T01:15:00.000Z,0.4361526578105394,9.450089976413569,"outlier",1.0,3,"[ ""You are outside the cluster"" ]"
1410947,18.48765739641392,73.79563577678819,2017-03-25T01:16:00.000Z,12.15376779192482,nan.0,1,nan.0,1,"[ ""cluster 2 is left behind of your cluster 1"" ]"
1410765,18.47099748853288,73.81279243949719,2017-03-25T01:16:00.000Z,10.74729867873099,1.406469113193832,1,0.0,2,"[ ""cluster 2 is left behind of your cluster 1"" ]"
1410591,18.46020753822109,73.7907392753351,2017-03-25T01:16:00.000Z,0.4365729429410924,10.3107257357899,2,1.0,3,"[ ""cluster 1 is move ahead of your cluster 2"" ]"
1410656,18.49770078208805,73.85017452945802,2017-03-25T01:16:00.000Z,0.0,0.4365729429410924,2,0.0,5,"[ ""cluster 1 is move ahead of your cluster 2"" ]"
1410947,18.48765739641392,73.79563291199679,2017-03-25T01:17:00.000Z,12.15406640714267,nan.0,1,nan.0,1,"[ ""cluster 2 is left behind of your cluster 1"" ]"
1410765,18.46625396694031,73.81706957305059,2017-03-25T01:17:00.000Z,11.44134588535864,0.7127205217840231,1,0.0,2,"[ ""cluster 2 is left behind of your cluster 1"" ]"
1410591,18.46021441372044,73.79073755646027,2017-03-25T01:17:00.000Z,0.4373592395888086,11.00398664576984,2,1.0,3,"[ ""cluster 1 is move ahead of your cluster 2"" ]"
1412129,18.49815399208681,73.85013442237849,2017-03-25T01:17:00.000Z,0.0,0.4373592395888086,2,0.0,5,"[ ""cluster 1 is move ahead of your cluster 2"" ]"
1410765,18.46109275876228,73.82212936761323,2017-03-25T01:18:00.000Z,12.22502744172783,nan.0,"outlier",nan.0,1,"[ ""You are outside the cluster"" ]"
1410591,18.46022071626151,73.7907392753351,2017-03-25T01:18:00.000Z,0.4380797412174816,11.78694770051035,1,1.0,3,"[ ""unit_id 1410765 is move ahead of your cluster 1"" ]"
1412129,18.49815399208681,73.85013442237849,2017-03-25T01:18:00.000Z,0.0,0.4380797412174816,1,0.0,5,"[ ""unit_id 1410765 is move ahead of your cluster 1"" ]"
1410765,18.45577398705751,73.82671761751216,2017-03-25T01:19:00.000Z,12.98921238460442,nan.0,0,nan.0,1,"[ ""unit_id 1410591 is left behind of your cluster 0"" ]"
1410591,18.46020410047142,73.79183935523096,2017-03-25T01:19:00.000Z,0.5541234753193299,12.43508890928509,"outlier",1.0,3,"[ ""You are outside the cluster"" ]"
1410765,18.45421725941323,73.8280262542216,2017-03-25T01:20:00.000Z,13.21060811198634,nan.0,0,nan.0,1,"[ ""unit_id 1410591 is left behind of your cluster 0"" ]"
1410591,18.46093233044414,73.79720453655634,2017-03-25T01:20:00.000Z,1.125769715952908,12.08483839603344,"outlier",1.0,3,"[ ""You are outside the cluster"" ]"
1410765,18.45422929153709,73.82799760630763,2017-03-25T01:21:00.000Z,13.21391340490886,nan.0,0,nan.0,1,"[ ""unit_id 1410591 is left behind of your cluster 0"" ]"
1410591,18.4584594425116,73.80051910020086,2017-03-25T01:21:00.000Z,1.570549768988703,11.64336363592016,"outlier",1.0,3,"[ ""You are outside the cluster"" ]"
1410765,18.45424762620202,73.82798786601688,2017-03-25T01:22:00.000Z,13.2161957523981,nan.0,1,nan.0,1,"[ ""unit_id 1410591 is left behind of your cluster 1"" ]"
1410947,18.48684780636557,73.79675934797348,2017-03-25T01:22:00.000Z,12.30311373680042,0.9130820155976824,1,0.0,2,"[ ""unit_id 1410591 is left behind of your cluster 1"" ]"
1410591,18.45738056207207,73.8043126569667,2017-03-25T01:22:00.000Z,1.988271165307834,10.31484257149258,"outlier",1.0,3,"[ ""You are outside the cluster"" ]"
1410765,18.45684427312285,73.82600944107919,2017-03-25T01:23:00.000Z,13.57244457520548,nan.0,1,nan.0,1,"[ ""unit_id 1410591 is left behind of your cluster 1"" ]"
1410947,18.48414745399623,73.80067265301966,2017-03-25T01:23:00.000Z,12.81347722611514,0.7589673490903355,1,0.0,2,"[ ""unit_id 1410591 is left behind of your cluster 1"" ]"
1410591,18.45895562438129,73.80940453719296,2017-03-25T01:23:00.000Z,2.553170213104289,10.26030701301086,"outlier",1.0,3,"[ ""You are outside the cluster"" ]"
1410765,18.46035765329021,73.82361275659777,2017-03-25T01:24:00.000Z,14.03776716535809,nan.0,1,nan.0,1,"[ ""cluster 2 is left behind of your cluster 1"" ]"
1410947,18.4804959908836,73.80453267294587,2017-03-25T01:24:00.000Z,13.38842662913812,0.6493405362199685,1,0.0,2,"[ ""cluster 2 is left behind of your cluster 1"" ]"
1410591,18.4618977651444,73.81415608020143,2017-03-25T01:24:00.000Z,3.151659381569216,10.2367672475689,2,1.0,3,"[ ""cluster 1 is move ahead of your cluster 2"" ]"
1412130,18.49101435897109,73.81862744661143,2017-03-25T01:24:00.000Z,0.0,3.151659381569216,2,0.0,5,"[ ""cluster 1 is move ahead of your cluster 2"" ]"
1410765,18.46299440729058,73.82012745138609,2017-03-25T01:25:00.000Z,14.50797429842994,nan.0,1,nan.0,1,"[ ""cluster 2 is left behind of your cluster 1"" ]"
1410947,18.4803178008588,73.80475440779988,2017-03-25T01:25:00.000Z,13.41907645111408,1.088897847315859,1,0.0,2,"[ ""cluster 2 is left behind of your cluster 1"" ]"
1410591,18.46560423225182,73.81642098427866,2017-03-25T01:25:00.000Z,3.628025010615644,9.791051440498439,2,1.0,3,"[ ""cluster 1 is move ahead of your cluster 2"" ]"
1412130,18.49101435897109,73.81862744661143,2017-03-25T01:25:00.000Z,0.0,3.628025010615644,2,0.0,5,"[ ""cluster 1 is move ahead of your cluster 2"" ]"
1410765,18.46299899095681,73.82013432688544,2017-03-25T01:26:00.000Z,14.50886223987834,nan.0,1,nan.0,1,"[ ""unit_id 1410591 is left behind of your cluster 1"" ]"
1410947,18.48032238452504,73.80475784554955,2017-03-25T01:26:00.000Z,13.41970181745593,1.089160422422415,1,0.0,2,"[ ""unit_id 1410591 is left behind of your cluster 1"" ]"
1410591,18.46454769718518,73.81875407039111,2017-03-25T01:26:00.000Z,3.900702307992559,9.518999509463367,"outlier",1.0,3,"[ ""You are outside the cluster"" ]"
1410947,18.47725419294052,73.8071591136972,2017-03-25T01:27:00.000Z,13.84458618930353,nan.0,0,nan.0,2,"[ ""unit_id 1410591 is left behind of your cluster 0"" ]"
1410591,18.4630677459503,73.82013604576026,2017-03-25T01:27:00.000Z,4.120535221805367,9.724050967498158,"outlier",1.0,3,"[ ""You are outside the cluster"" ]"
1410947,18.47096769470236,73.81282280628599,2017-03-25T01:28:00.000Z,14.7640584112288,,0,,1,"[]"
1410947,18.46384754216814,73.81921931251374,2017-03-25T01:29:00.000Z,15.80422984857427,,0,,1,"[]"
1410947,18.46297263487597,73.82011255447082,2017-03-25T01:30:00.000Z,15.93965584957785,nan.0,0,nan.0,1,"[ ""unit_id 1410591 is left behind of your cluster 0"" ]"
1410591,18.46306087045095,73.82013776463511,2017-03-25T01:30:00.000Z,4.12132151776725,11.8183343318106,"outlier",1.0,3,"[ ""You are outside the cluster"" ]"
1411607,18.51750565796301,73.87107432860431,2017-03-25T01:31:00.000Z,0.0,,0,,5,"[]"
1410591,18.46305743270128,73.82013604576026,2017-03-25T01:33:00.000Z,4.121741801614698,,0,,3,"[]"
1410591,18.46305743270128,73.82013948350995,2017-03-25T01:35:00.000Z,4.12210199678556,,0,,3,"[]"
1410947,18.46301274195551,73.82010453305492,2017-03-25T01:38:00.000Z,15.94419508149084,nan.0,1,nan.0,1,"[ ""unit_id 1410591 is left behind of your cluster 1"" ]"
1410765,18.46300070983165,73.82015781817488,2017-03-25T01:38:00.000Z,14.51134707493529,1.432848006555551,1,0.0,2,"[ ""unit_id 1410591 is left behind of your cluster 1"" ]"
1410591,18.46305055720193,73.82013776463511,2017-03-25T01:38:00.000Z,4.122888292749921,10.38845878218537,"outlier",1.0,3,"[ ""You are outside the cluster"" ]"
1410947,18.45902266049994,73.82447448584954,2017-03-25T01:39:00.000Z,16.58395132359776,nan.0,1,nan.0,1,"[ ""unit_id 1410591 is left behind of your cluster 1"" ]"
1410765,18.45732441216072,73.8255957652017,2017-03-25T01:39:00.000Z,15.36419609963169,1.219755223966068,1,0.0,2,"[ ""unit_id 1410591 is left behind of your cluster 1"" ]"
1410591,18.46032098396035,73.82330278616878,2017-03-25T01:39:00.000Z,4.574062841842513,10.79013325778918,"outlier",1.0,3,"[ ""You are outside the cluster"" ]"
1410947,18.45084769177391,73.83094089298731,2017-03-25T01:40:00.000Z,17.72039577087125,nan.0,1,nan.0,1,"[ ""unit_id 1410591 is left behind of your cluster 1"" ]"
1410765,18.44926059734084,73.8330808921597,2017-03-25T01:40:00.000Z,16.55890139818746,1.161494372683798,1,0.0,2,"[ ""unit_id 1410591 is left behind of your cluster 1"" ]"
1410591,18.45336928116017,73.82867255116039,2017-03-25T01:40:00.000Z,5.532344406150681,11.02655699203677,"outlier",1.0,3,"[ ""You are outside the cluster"" ]"
1410947,18.44263089709351,73.83813782193094,2017-03-25T01:41:00.000Z,18.90828615666535,nan.0,1,nan.0,1,"[ ""unit_id 1410591 is left behind of your cluster 1"", ""unit_id 1410671 is left behind of your cluster 1"" ]"
1410765,18.44134231392384,73.83921097278767,2017-03-25T01:41:00.000Z,17.65130447050991,1.256981686155438,1,0.0,2,"[ ""unit_id 1410591 is left behind of your cluster 1"", ""unit_id 1410671 is left behind of your cluster 1"" ]"
1410591,18.44697220197416,73.83495790348199,2017-03-25T01:41:00.000Z,6.504721063497911,11.146583407012,"outlier",1.0,3,"[ ""You are outside the cluster"" ]"
1410671,18.55580906483659,73.71650909252958,2017-03-25T01:41:00.000Z,0.2076016487409554,6.297119414756955,"outlier",1.0,4,"[ ""unit_id 1410591 is move ahead of your cluster outlier"", ""You are outside the cluster"" ]"
1410947,18.43173552245837,73.83921097278767,2017-03-25T01:42:00.000Z,20.12507394877982,nan.0,1,nan.0,1,"[ ""unit_id 1410591 is left behind of your cluster 1"", ""unit_id 1410670 is left behind of your cluster 1"" ]"
1410765,18.43154415439316,73.83955933142136,2017-03-25T01:42:00.000Z,18.7414296499592,1.383644298820624,1,0.0,2,"[ ""unit_id 1410591 is left behind of your cluster 1"", ""unit_id 1410670 is left behind of your cluster 1"" ]"
1410591,18.44051095146089,73.83966418278642,2017-03-25T01:42:00.000Z,7.378007509559014,11.36342214040019,"outlier",1.0,3,"[ ""You are outside the cluster"" ]"
1410670,18.60648607870537,73.76049108890722,2017-03-25T01:42:00.000Z,0.01961260772768016,7.358394901831334,"outlier",1.0,5,"[ ""unit_id 1410591 is move ahead of your cluster outlier"", ""You are outside the cluster"" ]"
1410947,18.42521583020063,73.84341591359788,2017-03-25T01:43:00.000Z,20.9749768567398,nan.0,1,nan.0,1,"[ ""unit_id 1410591 is left behind of your cluster 1"" ]"
1410765,18.42424065520962,73.8440925773255,2017-03-25T01:43:00.000Z,19.68388720771325,1.291089649026549,1,0.0,2,"[ ""unit_id 1410591 is left behind of your cluster 1"" ]"
1410591,18.43188219977782,73.83901788584761,2017-03-25T01:43:00.000Z,8.339900055796212,11.34398715191704,"outlier",1.0,3,"[ ""You are outside the cluster"" ]"
1410947,18.41595739736885,73.8475091275437,2017-03-25T01:44:00.000Z,22.09136537958248,nan.0,1,nan.0,1,"[ ""unit_id 1410591 is left behind of your cluster 1"" ]"
1410765,18.41597573203378,73.84755095349809,2017-03-25T01:44:00.000Z,20.67267925648922,1.418686123093263,1,0.0,2,"[ ""unit_id 1410591 is left behind of your cluster 1"" ]"
1410591,18.42510410333621,73.84347435534235,2017-03-25T01:44:00.000Z,9.228194021993984,11.44448523449524,"outlier",1.0,3,"[ ""You are outside the cluster"" ]"
1410947,18.40648582405725,73.84753261883314,2017-03-25T01:45:00.000Z,23.14455919714526,nan.0,1,nan.0,1,"[ ""unit_id 1410591 is left behind of your cluster 1"" ]"
1410765,18.40748391737942,73.84742948634292,2017-03-25T01:45:00.000Z,21.6170129246912,1.527546272454057,1,0.0,2,"[ ""unit_id 1410591 is left behind of your cluster 1"" ]"
1410591,18.41897058495858,73.84702268596475,2017-03-25T01:45:00.000Z,10.00618778134299,11.6108251433482,"outlier",1.0,3,"[ ""You are outside the cluster"" ]"
1410765,18.40615580008849,73.84759621720212,2017-03-25T01:46:00.000Z,21.76573683437497,nan.0,"outlier",nan.0,2,"[ ""You are outside the cluster"" ]"
1410591,18.40996597264443,73.84729770593871,2017-03-25T01:46:00.000Z,11.00787529985195,10.75786153452301,"outlier",1.0,3,"[ ""unit_id 1410765 is move ahead of your cluster outlier"", ""You are outside the cluster"" ]"
1410656,18.49738737390939,73.85005592709425,2017-03-25T01:46:00.000Z,0.03702568290798551,10.97084961694397,"outlier",1.0,5,"[ ""unit_id 1410765 is move ahead of your cluster outlier"", ""unit_id 1410591 is left behind of your cluster outlier"", ""You are outside the cluster"" ]"
1410947,18.38658239935829,73.85624788721634,2017-03-25T01:47:00.000Z,25.54115723995527,nan.0,1,nan.0,1,"[ ""unit_id 1410591 is left behind of your cluster 1"", ""unit_id 1412129 is left behind of your cluster 1"" ]"
1410765,18.38976403668206,73.85678131137418,2017-03-25T01:47:00.000Z,23.83004876258251,1.711108477372761,1,0.0,2,"[ ""unit_id 1410591 is left behind of your cluster 1"", ""unit_id 1412129 is left behind of your cluster 1"" ]"
1410591,18.40796921304181,73.84741458942766,2017-03-25T01:47:00.000Z,11.23024702289061,12.5998017396919,"outlier",1.0,3,"[ ""You are outside the cluster"" ]"
1412129,18.49803768155616,73.84993445993908,2017-03-25T01:47:00.000Z,0.02473629744344566,11.20551072544716,"outlier",1.0,6,"[ ""unit_id 1410591 is move ahead of your cluster outlier"", ""You are outside the cluster"" ]"
1410947,18.37327257853507,73.85551278174428,2017-03-25T01:48:00.000Z,27.02317323093344,nan.0,1,nan.0,1,"[ ""unit_id 1410591 is left behind of your cluster 1"" ]"
1410765,18.37842404642236,73.85535120750959,2017-03-25T01:48:00.000Z,25.09999581455862,1.92317741637482,1,0.0,2,"[ ""unit_id 1410591 is left behind of your cluster 1"" ]"
1410591,18.39334731775948,73.85438577280931,2017-03-25T01:48:00.000Z,13.014760756915,12.08523505764363,"outlier",1.0,3,"[ ""You are outside the cluster"" ]"
1410947,18.36500249873471,73.85384088948589,2017-03-25T01:49:00.000Z,27.95953648679529,nan.0,1,nan.0,1,"[ ""unit_id 1410591 is left behind of your cluster 1"" ]"
1410765,18.36717916723697,73.85387412106608,2017-03-25T01:49:00.000Z,26.36004743807263,1.59948904872266,1,0.0,2,"[ ""unit_id 1410591 is left behind of your cluster 1"" ]"
1410591,18.38463090345972,73.85596599174303,2017-03-25T01:49:00.000Z,13.99821976847976,12.36182766959287,"outlier",1.0,3,"[ ""You are outside the cluster"" ]"
1410947,18.35623738298123,73.85343580798258,2017-03-25T01:50:00.000Z,28.93510999748705,nan.0,1,nan.0,1,"[ ""unit_id 1410591 is left behind of your cluster 1"" ]"
1410765,18.35640927046495,73.85343752685743,2017-03-25T01:50:00.000Z,27.5584913521498,1.376618645337256,1,0.0,2,"[ ""unit_id 1410591 is left behind of your cluster 1"" ]"
1410591,18.3752773595536,73.85569956614326,2017-03-25T01:50:00.000Z,15.03866629852494,12.51982505362485,"outlier",1.0,3,"[ ""You are outside the cluster"" ]"
1410947,18.35556931362781,73.85333783211686,2017-03-25T01:51:00.000Z,29.01011212627708,nan.0,1,nan.0,1,"[ ""unit_id 1410591 is left behind of your cluster 1"" ]"
1410765,18.35528054265516,73.85326621233197,2017-03-25T01:51:00.000Z,27.68529573670827,1.324816389568806,1,0.0,2,"[ ""unit_id 1410591 is left behind of your cluster 1"" ]"
1410591,18.36610888117164,73.85384260836074,2017-03-25T01:51:00.000Z,16.07681714983254,11.60847858687574,"outlier",1.0,3,"[ ""You are outside the cluster"" ]"
1410947,18.35540086389376,73.85329772503732,2017-03-25T01:52:00.000Z,29.02931515370313,nan.0,1,nan.0,1,"[ ""unit_id 1410591 is left behind of your cluster 1"" ]"
